08/19/2021 09:33:05 AM: INFO: Could not create a project 
08/19/2021 09:33:05 AM: WARNING: Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9b51b57040>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/277ba051fa7c8dd89988f37f39189026/element
08/19/2021 09:33:06 AM: WARNING: Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9b51a1b130>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/277ba051fa7c8dd89988f37f39189026/element
08/19/2021 09:33:06 AM: WARNING: Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9b51a1b220>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/277ba051fa7c8dd89988f37f39189026/element
08/19/2021 09:33:06 AM: WARNING: Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9b518c6a30>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/277ba051fa7c8dd89988f37f39189026/element
08/19/2021 09:33:06 AM: WARNING: Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9b518c6220>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/277ba051fa7c8dd89988f37f39189026/element
08/19/2021 09:33:06 AM: WARNING: Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9b518c6460>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/277ba051fa7c8dd89988f37f39189026/element
08/19/2021 09:33:06 AM: WARNING: Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9b51b1aac0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/277ba051fa7c8dd89988f37f39189026/element
08/19/2021 09:33:06 AM: WARNING: Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9b51b1a7c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/277ba051fa7c8dd89988f37f39189026/element
08/19/2021 09:33:06 AM: WARNING: Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9b51b1a280>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/277ba051fa7c8dd89988f37f39189026/element
08/19/2021 09:33:06 AM: WARNING: Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9b51b50f40>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/277ba051fa7c8dd89988f37f39189026/element
08/19/2021 09:33:06 AM: WARNING: Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9b51783e50>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/277ba051fa7c8dd89988f37f39189026/element
08/19/2021 09:33:06 AM: WARNING: Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9b51783220>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/277ba051fa7c8dd89988f37f39189026/element
08/19/2021 09:33:06 AM: WARNING: Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9b51afdd30>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/277ba051fa7c8dd89988f37f39189026/element
08/19/2021 09:33:06 AM: WARNING: Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9b51afdf70>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/277ba051fa7c8dd89988f37f39189026/element
08/19/2021 09:33:06 AM: WARNING: Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9b51afd190>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/277ba051fa7c8dd89988f37f39189026/element
08/19/2021 09:33:07 AM: WARNING: Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9b51a22be0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/277ba051fa7c8dd89988f37f39189026/element
08/19/2021 09:33:07 AM: WARNING: Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9b519439d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/277ba051fa7c8dd89988f37f39189026/element
08/19/2021 09:33:07 AM: WARNING: Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9b51943280>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/277ba051fa7c8dd89988f37f39189026/element
08/19/2021 09:33:07 AM: WARNING: Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9b51a87370>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/277ba051fa7c8dd89988f37f39189026/element
08/19/2021 09:33:07 AM: WARNING: Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9b51a87580>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/277ba051fa7c8dd89988f37f39189026/element
08/19/2021 09:33:07 AM: WARNING: Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9b51a87850>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/277ba051fa7c8dd89988f37f39189026/element
08/19/2021 09:33:09 AM: WARNING: Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9b51935eb0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/277ba051fa7c8dd89988f37f39189026
08/19/2021 09:33:09 AM: WARNING: Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9b51935400>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/277ba051fa7c8dd89988f37f39189026
08/19/2021 09:33:09 AM: WARNING: Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9b51935340>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/277ba051fa7c8dd89988f37f39189026
08/19/2021 09:33:48 AM: INFO: Could not create a project 
08/19/2021 09:34:00 AM: WARNING: Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f879020de20>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/79f492b080ed7f66aa847e1cd4e783c7
08/19/2021 09:34:00 AM: WARNING: Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f878fde67c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/79f492b080ed7f66aa847e1cd4e783c7
08/19/2021 09:34:00 AM: WARNING: Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f879002fb50>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/79f492b080ed7f66aa847e1cd4e783c7
08/19/2021 09:39:07 AM: INFO: Could not create a project 
08/19/2021 09:39:25 AM: WARNING: Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f0d1503dbe0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/4e358146e7bd246a55c6d0ceb1f86132
08/19/2021 09:39:25 AM: WARNING: Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f0d14da72e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/4e358146e7bd246a55c6d0ceb1f86132
08/19/2021 09:39:25 AM: WARNING: Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f0d14da73d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/4e358146e7bd246a55c6d0ceb1f86132
08/19/2021 09:50:33 AM: INFO: Could not create a project 
08/19/2021 09:51:29 AM: WARNING: Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f1f48de8a30>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/b77fc67850ce5856144e336ae6f2ada5
08/19/2021 09:51:29 AM: WARNING: Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f1f48de8c40>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/b77fc67850ce5856144e336ae6f2ada5
08/19/2021 09:51:29 AM: WARNING: Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f1f48de8d60>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/b77fc67850ce5856144e336ae6f2ada5
08/19/2021 09:52:01 AM: WARNING: Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f131315f7c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/c250d6c1900f80afdc8c530ab506edb1
08/19/2021 09:52:01 AM: WARNING: Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f1312d18730>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/c250d6c1900f80afdc8c530ab506edb1
08/19/2021 09:52:01 AM: WARNING: Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f1312d18880>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/c250d6c1900f80afdc8c530ab506edb1
08/19/2021 11:38:04 AM: INFO: Project creation was sucessfull
08/19/2021 01:16:55 PM: INFO: Project creation was sucessfull
08/19/2021 01:33:38 PM: WARNING: Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7faa4b30f940>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/51bc735e10081a03d1c07932174e01f2
08/19/2021 01:33:38 PM: WARNING: Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7faa4b30f9a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/51bc735e10081a03d1c07932174e01f2
08/19/2021 01:33:38 PM: WARNING: Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7faa4b30f7c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/51bc735e10081a03d1c07932174e01f2
08/20/2021 11:58:57 AM: WARNING: Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f37420c6d00>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/471e9f8272fbe789e0870284427e8f51
08/20/2021 11:58:57 AM: WARNING: Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f3741bcca00>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/471e9f8272fbe789e0870284427e8f51
08/20/2021 11:58:57 AM: WARNING: Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f3741bcca90>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/471e9f8272fbe789e0870284427e8f51
08/20/2021 11:59:18 AM: WARNING: Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcf38f6d1c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/9b2769498ff40ddb6860e1e1175b4b9d
08/20/2021 11:59:18 AM: WARNING: Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcf38f6d9a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/9b2769498ff40ddb6860e1e1175b4b9d
08/20/2021 11:59:18 AM: WARNING: Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcf38f6d490>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/9b2769498ff40ddb6860e1e1175b4b9d
08/20/2021 12:00:09 PM: INFO: Project creation was sucessfull
